time,PdBialWaszynCO1g,PdHajnowkJagMOBCO1g,PkNiskoSzklaCO1g,PkRzeszRejtaCO1g,PmGdaLeczk08CO1g,PmGdaOstrz05CO1g,PmGdaPoWie01CO1g,PmGdaWyzwo03CO1g,PmGdyPoreb04CO1g,PmKosTargo12CO1g,PmLebMalcz16CO1g,PmLinieKos17CO1g,PmMalMicki15CO1g,PmSlupKniaziCO1g,PmSopBitPl06CO1g,PmStaGdaLubiCO1g,PmTczeTarg07CO1g,WmElbBazynskCO1g,WmGoldJacwieCO1g,WmOlsPuszkinCO1g,WmOstrChrobrCO1g,ZpSzczPils02CO1g
1/1/16 6:00,0.394,,0.99499,1.42394,0.5356,0.560938,0.59039,0.307027,0.600894,0.419646,0.686933,0.41869,,0.51614,0.591088,0.546,0.65142,0.30308,0.271822,0.451127,0.530189,0.47078
1/1/16 12:00,0.341,,0.19601,1.28063,0.462501,0.338468,0.497902,0.363734,0.753073,0.552569,1.04439,0.479773,,0.594101,0.510022,0.368,0.445919,0.23302,0.291058,0.372508,0.399637,0.53187
1/1/16 18:00,0.429,,0.22645,0.34539,0.330941,0.251346,0.506678,0.240742,0.526887,0.85234,1.11149,0.339736,,0.656837,0.364666,0.21,0.450582,0.281069,0.488228,0.401432,0.460546,0.79385
1/2/16 0:00,0.306,,0.163,0.24637,0.30517,0.243117,0.389411,0.236597,0.612577,0.367958,0.731738,0.281831,,0.363208,0.373375,0.435,0.416966,0.276959,0.306001,0.331309,0.361129,0.73497
1/2/16 6:00,0.302,,0.1079,0.28229,0.242358,0.155842,0.279212,0.209084,0.478963,0.208574,0.427196,0.183407,,0.319964,0.305676,0.211,0.262976,0.15406,0.226529,0.282133,0.370726,0.27402
1/2/16 12:00,0.337,,0.11318,0.27987,0.226824,0.199333,0.261339,0.191915,0.515888,0.296999,0.562074,0.140651,,0.30008,0.224678,0.211,0.302949,0.204895,0.429516,0.388843,0.413451,0.151
1/2/16 18:00,0.402,,0.15848,0.34305,0.263457,0.175558,0.335481,0.202915,0.465783,0.445807,0.524619,0.150903,,0.347083,0.254916,0.465,0.422842,0.18072,0.324856,0.436057,0.445201,0.14984
1/3/16 0:00,0.34,,0.14632,0.3421,0.305218,0.188126,0.369324,0.233725,,0.470153,0.584987,0.187654,,0.344258,0.313871,0.445,0.401357,0.245389,0.502099,0.379514,0.415297,0.15584
1/3/16 6:00,0.37,,0.10232,0.26014,0.327301,0.156317,0.364334,0.254311,,0.330288,0.489717,0.219573,,0.34117,0.351463,0.393,0.402809,0.203034,0.274379,0.38973,0.448287,0.15062
1/3/16 12:00,0.488,,0.11723,0.30563,0.502395,0.23513,0.490193,0.346038,,0.351358,0.798782,0.205875,,,0.452814,0.52,0.437527,0.282792,0.67863,0.472366,0.483959,0.18549
1/3/16 18:00,0.6,,0.30528,0.41387,0.454966,0.271465,0.568012,0.454766,,0.158907,0.7932,0.270387,,0.36526,0.490904,0.843,0.654184,0.361734,1.39534,0.704393,0.523142,0.1954
1/4/16 0:00,0.45,,0.25317,0.47494,0.560971,0.289896,0.568468,0.362747,,0.326232,0.924834,0.374944,,0.457033,0.550615,0.716,0.60196,0.336811,0.405371,0.573931,0.549047,0.21321
1/4/16 6:00,0.523,,0.18106,0.42235,0.531894,0.235527,0.488543,0.480045,,0.78474,0.60579,0.339756,,0.492775,0.577587,0.683,0.597551,0.347506,0.311628,0.506192,0.525837,0.26147
1/4/16 12:00,0.666,,0.31042,0.60523,0.5941,0.189187,0.566957,0.37795,,0.738469,0.713815,0.245226,,0.443312,0.610393,0.616,0.612588,0.235366,0.527379,0.769549,0.493575,0.28727
1/4/16 18:00,0.611,,0.54806,0.64511,0.889981,0.24108,0.602276,0.222032,,0.599112,0.876187,0.223486,,0.451378,0.412648,0.888,0.927275,0.163873,0.837862,0.559989,0.595213,0.30338
1/5/16 0:00,0.631,,0.46395,1.1246,0.488465,0.120175,0.579801,0.321767,,0.495164,0.78147,0.290457,,0.48177,0.506773,1.116,0.652948,0.163865,0.490883,0.491741,0.552163,0.29362
1/5/16 6:00,0.58,,0.52645,0.85851,0.427798,0.213094,0.573627,0.357596,,0.374858,0.781084,0.295868,,0.585534,0.522482,0.607,0.457046,0.28287,0.372535,0.529736,0.560167,0.26809
1/5/16 12:00,0.482,,0.73738,0.94436,0.475627,0.265225,0.558472,0.448046,,0.222787,0.680081,0.271184,,0.579186,0.565146,0.699,0.614505,0.470653,0.650639,0.57197,0.573972,0.37651
1/5/16 18:00,1.551,,1.12244,0.72286,1.20968,0.488337,1.18367,0.35131,0.781582,1.40089,1.28612,0.412741,1.08938,0.784045,1.08043,1.256,0.98197,0.981831,1.02836,0.745906,0.705586,0.38597
1/6/16 0:00,0.607,,0.82018,0.55658,1.1086,0.773863,1.81956,0.434462,0.7271,1.35573,1.54534,0.389186,1.40653,0.847169,0.803668,1.901,1.17227,0.888607,0.981216,0.682338,0.73422,0.27787
1/6/16 6:00,0.366,,0.60832,0.58112,0.952504,0.599157,1.29348,0.366076,0.454419,1.47326,1.92685,0.429492,0.72729,0.859304,0.669447,1.22,0.754638,0.477537,0.337211,0.579708,0.635628,0.21827
1/6/16 12:00,0.587,,0.6271,0.7671,0.63965,0.350368,0.5572,0.32062,0.710422,0.936922,1.19907,0.402613,0.716844,,0.762681,0.793,0.607327,0.420779,0.634981,0.601291,0.767264,0.34399
1/6/16 18:00,0.465,,1.88538,1.66869,1.03532,0.699772,1.42282,0.477849,0.797135,1.14119,0.931893,0.321607,1.35289,0.873533,1.14101,0.864,1.1101,0.439307,0.609199,0.562637,0.74193,0.46663
1/7/16 0:00,0.48,,2.05862,2.37803,0.555518,0.189683,0.522713,0.300313,0.570875,1.85481,1.05937,0.279331,1.2041,0.905757,0.834257,0.643,0.92232,0.390124,0.614857,0.521243,0.70615,0.39924
1/7/16 6:00,0.481,,0.59688,0.81528,0.576143,0.150944,0.472268,0.25502,0.499672,0.152297,1.05882,0.194328,0.65197,0.672632,0.363704,0.522,,0.395409,0.560775,0.512807,0.660814,
1/7/16 12:00,0.523,,0.50402,0.46117,0.33679,0.202662,0.490778,0.288967,0.509969,0.151143,0.96895,0.186932,1.07952,0.612296,0.276299,0.719,0.722001,0.398531,0.459963,0.735289,0.709005,0.37481
1/7/16 18:00,0.553,,0.4587,0.58521,0.441457,0.170857,0.478854,0.611883,0.532155,0.532599,0.720028,0.272526,0.691026,0.518978,0.329437,0.742,0.658353,0.428315,0.660845,0.712854,0.831267,0.57776
1/8/16 0:00,0.395,,0.44669,0.76856,0.547415,0.248065,0.621764,0.769567,0.479055,0.552282,0.607423,0.446893,0.767914,0.700482,0.568249,0.766,0.532185,0.474,0.432071,0.594915,0.672519,0.41126
1/8/16 6:00,0.443,,0.47262,0.50609,0.527971,0.273195,0.621424,0.728869,0.471546,0.488178,0.53256,0.411453,0.289541,0.764023,0.592505,0.549,0.30517,0.346605,0.255603,0.524476,0.595664,0.48082
1/8/16 12:00,0.536,,0.53432,0.66596,0.417854,0.204312,0.501908,0.598816,0.535854,0.402691,0.923144,0.269948,,0.698621,0.440201,0.816,0.238911,0.399708,0.497964,0.634422,0.610311,
1/8/16 18:00,0.532,,1.04408,0.71394,0.714403,0.261347,0.749668,0.761023,1.42281,0.724333,1.16067,0.470421,0.820955,0.964248,0.679502,0.813,0.502379,0.564703,0.659692,0.745504,0.771759,0.43051
1/9/16 0:00,0.651,,0.64197,0.57143,1.08101,0.714029,1.13955,1.07238,1.1253,1.82858,1.63568,0.67448,0.719404,1.10419,1.01045,0.516,1.01893,0.612993,0.512547,0.874403,0.612736,0.55188
1/9/16 6:00,0.523,,0.46402,0.46655,1.68352,0.462274,1.8297,1.54442,0.586971,0.881731,0.795773,0.453197,0.513793,0.81809,1.52388,0.61,0.309439,0.634471,0.497676,0.467475,0.662785,0.55551
1/9/16 12:00,0.624,,0.4807,0.52513,0.668964,0.478155,0.666302,0.731543,0.710352,1.04786,0.881984,0.433897,0.835622,0.917094,0.643225,0.706,0.320611,0.623463,1.05089,0.650559,0.816793,0.64974
1/9/16 18:00,0.653,,1.13868,2.5312,0.813016,0.666712,1.06364,0.859554,0.882163,0.932125,3.6939,0.551679,0.650841,1.0475,0.602715,4.325,1.06,0.949402,1.37718,0.804773,1.02139,0.58314
1/10/16 0:00,0.548,,1.26637,1.30145,1.10089,0.832393,1.06038,1.04445,1.0218,0.514423,0.648427,0.429647,0.592018,0.763735,0.970977,0.527,0.649895,0.6118,0.981599,0.802519,0.894604,0.43465
1/10/16 6:00,0.45,,0.41716,0.51895,0.503541,0.191888,0.483582,0.579507,0.554719,0.46066,0.460126,0.274844,0.289434,0.690751,0.541343,0.344,0.221813,0.303925,0.64688,0.474851,0.551804,0.40349
1/10/16 12:00,0.537,,0.40149,0.54037,0.422933,0.261274,0.520221,0.353754,0.509628,0.572457,0.506466,0.251381,0.375819,0.703393,0.427697,0.452,0.232076,0.265264,0.413327,0.537123,0.56465,0.55456
1/10/16 18:00,0.464,,0.59595,0.8884,0.482228,0.180364,0.495125,0.360835,0.603542,0.517224,0.711485,0.295218,0.317971,0.881109,0.494067,0.476,0.334939,0.380119,0.492721,0.53346,0.591886,0.74556
1/11/16 0:00,0.381,,0.64877,1.35993,0.522384,0.257789,0.504202,0.432412,0.615846,0.531804,0.666982,0.297934,0.31926,0.994156,0.553006,0.455,0.270805,0.309036,0.251917,0.504088,0.562923,0.67084
1/11/16 6:00,0.426,,0.59905,0.40978,0.498013,0.237088,0.486692,0.442602,0.692494,0.566887,0.59214,0.342148,0.298474,0.934518,0.5669,0.464,0.268494,0.311448,0.385585,0.470142,0.579944,0.69248
