date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoPlebA4,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160101,08:00,0.74733,0.79,3.03877,1.64621,0.380478,0.431,1.51788,0.41355,1.5002,0.421227,0.703,0.46828
160101,16:00,0.822362,0.901,1.40585,1.62644,0.410534,0.5,0.47132,0.299075,0.96664,0.434237,,0.59305
160102,00:00,0.669265,0.426,0.61268,2.60344,0.288998,0.306,0.24637,0.236597,0.87212,0.331309,0.46038,0.73497
160102,08:00,0.34765,0.306,0.45259,1.25551,0.224768,0.471,0.26012,0.16988,0.82637,0.319582,0.31766,0.24569
160102,16:00,0.376303,0.521,0.67607,0.88963,0.552539,0.36,0.31828,0.203121,0.27885,0.408023,0.29529,0.13879
160103,00:00,0.422837,0.472,0.45588,3.00658,0.473895,0.34,0.3421,0.233725,0.58392,0.379514,0.35247,0.15584
160103,08:00,0.39124,0.43,0.38417,2.04182,0.443809,0.41,0.28562,0.286266,0.85651,0.425204,0.39226,0.14375
160103,16:00,0.695096,0.668,0.87917,0.96744,0.747724,0.486,0.41269,0.293695,0.34851,0.521202,0.42017,0.18193
160104,00:00,,0.644,0.7302,3.00124,0.651877,0.45,0.47494,0.362747,1.0429,0.573931,0.49516,0.21321
160104,08:00,0.873407,0.7,1.28496,1.69787,0.666615,0.692,0.73728,0.403423,1.36896,0.91007,0.55144,0.29528
160104,16:00,1.30245,1.001,1.38677,0.77733,0.960352,0.599,0.76218,0.242349,1.90706,0.613553,0.59729,0.31501
160105,00:00,1.15545,0.838,1.06318,1.6317,0.8137,0.631,1.1246,0.321767,1.1025,0.491741,0.68393,0.29362
160105,08:00,0.787789,1.193,1.39708,1.46874,0.7697,0.694,1.19685,0.496619,1.24851,0.787679,0.72231,0.32352
160105,16:00,0.748187,1.234,2.09443,1.78505,1.062979,0.696,0.70403,0.29737,1.61778,0.718974,0.73321,0.43574
160106,00:00,1.01197,1.175,1.62739,3.10681,1.1879,0.607,0.55658,0.434462,1.81928,0.682338,0.53362,0.27787
160106,08:00,1.05316,1.096,1.51963,1.9321,0.6419,0.388,1.02879,0.374363,1.37312,0.652516,0.58073,0.24688
160106,16:00,1.04052,1.427,2.27508,1.89866,0.82288,0.545,1.25926,0.398414,1.48013,0.527686,0.70478,0.42147
160107,00:00,1.44806,1.108,1.30566,2.93724,0.56901,0.48,2.37803,0.300313,1.65701,0.521243,0.65063,0.39924
160107,08:00,1.07433,1.092,1.49408,1.79658,0.597141,0.564,0.73489,0.258372,3.29784,0.619434,0.70363,
160107,16:00,1.11275,1.119,1.70751,0.97521,0.786101,0.625,0.55908,0.616685,2.24478,0.651951,0.66832,0.62055
160108,00:00,1.34557,0.805,0.83891,1.14643,0.773145,0.395,0.76856,0.769567,0.43116,0.594915,0.75018,0.41126
160108,08:00,0.813361,0.647,1.07841,2.00859,0.806188,0.495,0.86235,0.675663,1.06429,0.611551,0.55218,0.57871
160108,16:00,0.406082,0.916,1.14981,0.62867,1.012387,0.522,0.67035,0.701436,0.76991,0.739479,0.35756,0.40032
160109,00:00,0.403994,0.536,2.19445,0.55737,0.379778,0.651,0.57143,1.07238,0.42085,0.874403,0.34494,0.55188
160109,08:00,0.817822,0.465,2.29793,1.4227,0.45217,0.435,0.5536,1.01574,0.97446,0.587531,0.45637,0.62986
160109,16:00,1.04115,1.471,2.14265,2.18064,0.443636,0.775,0.75648,0.831387,0.89897,0.709717,0.38218,0.56254
160110,00:00,1.27461,0.97,2.03508,3.75153,1.133941,0.548,1.30145,1.04445,1.21751,0.802519,0.60146,0.43465
160110,08:00,1.1434,0.794,1.26169,2.96767,0.636245,0.429,0.47469,0.547247,1.46648,0.472644,0.59035,0.42139
160110,16:00,1.03831,0.896,1.88987,0.94015,0.90127,0.488,0.81564,0.348191,1.98657,0.570608,0.60629,0.71124
160111,00:00,1.47611,0.841,1.1217,2.00328,0.484052,0.381,1.35993,0.432412,1.38854,0.504088,1.02203,0.67084
160111,08:00,0.852124,,1.75679,2.0085,0.758835,0.485,1.04724,0.460445,1.67225,0.518491,0.9936,1.24326
160111,16:00,1.03631,1.851,2.77382,0.79735,1.072246,0.504,0.807,0.557729,1.81714,1.04122,1.09471,0.89722
160112,00:00,1.02276,2.004,2.11883,1.97588,1.135333,0.745,0.45203,1.41713,1.05508,0.60838,0.93135,0.61233
160112,08:00,0.872804,1.064,0.68728,0.62982,0.933,0.798,0.49326,0.333726,1.00657,0.490803,0.79917,0.87077
160112,16:00,0.562615,0.912,0.3701,0.60381,0.774,0.53,0.50545,0.307648,,0.52899,0.5527,0.91797
160113,00:00,0.351436,0.836,0.39643,0.56349,0.506,0.429,0.35844,0.425817,,0.517053,0.7475,0.50297
160113,08:00,0.410248,0.533,1.01092,0.6175,0.713,0.536,0.57879,0.517232,,0.635817,0.46677,0.47587
160113,16:00,0.344263,0.812,0.78841,0.59091,0.57,0.925,0.4424,0.213324,1.00932,0.326491,0.44484,0.62071
160114,00:00,0.273081,0.448,0.31214,0.60269,0.49,0.354,0.36627,0.188268,0.4569,0.312216,0.22553,0.44652
160114,08:00,0.596034,0.409,0.59989,0.97146,0.409,0.333,0.36549,0.245168,0.88665,0.358861,0.3906,0.55218
160114,16:00,0.524091,0.99,1.0788,0.80101,0.706,0.54,0.80198,0.3508,1.11,0.473705,0.49239,0.6205
160115,00:00,0.890479,1.108,1.6858,1.10318,0.6,0.513,0.42601,0.730541,0.96709,0.533043,0.79978,0.53839
160115,08:00,0.912026,0.921,1.60345,1.24521,1.05,0.69,0.68163,1.00002,1.01749,0.769214,1.13611,0.51755
160115,16:00,0.557947,1.351,0.9841,0.65373,1.25,0.552,0.69964,0.552686,0.66741,0.523233,0.4277,0.65899
160116,00:00,0.339201,0.555,0.6259,0.81426,0.866,0.461,0.78921,0.203729,0.6227,0.426053,0.37703,0.66368
160116,08:00,0.34234,0.447,0.54571,0.89085,0.484,0.381,0.40447,0.195664,0.4354,0.423795,0.35993,0.45412
160116,16:00,0.418702,0.679,0.80996,0.6749,0.488,0.501,0.35059,0.177576,0.46873,0.454548,0.40767,0.4897
160117,00:00,0.403592,0.69,,0.81241,0.833,0.525,1.07701,0.402596,1.48267,1.11949,0.47272,0.6648
160117,08:00,0.687304,0.573,0.42614,0.61902,0.917,0.748,0.8036,0.211375,0.82109,0.424142,0.3709,0.56896
160117,16:00,0.264233,0.724,0.60205,0.62259,0.84,0.573,0.54021,0.263516,0.38694,0.461553,0.47154,0.6184
160118,00:00,1.10523,0.689,0.88694,1.11733,0.636,0.574,0.79047,0.423004,0.72801,0.50239,0.89244,0.3414
160118,08:00,0.552136,0.733,1.62115,0.88145,0.758,0.976,0.7317,0.61982,0.72964,1.6195,0.53873,0.5129
160118,16:00,0.476943,0.787,0.96388,0.80837,0.893,0.899,0.38102,0.232343,0.38576,0.594655,0.4773,0.48598
160119,00:00,0.834035,0.838,1.4142,1.68439,1.11,0.734,1.9931,0.389892,0.71858,0.407611,1.27799,0.4596
160119,08:00,2.21995,0.996,1.19521,1.20516,,,1.25759,0.587082,1.64166,0.52879,1.1917,0.46434
160119,16:00,0.648444,0.888,1.02043,0.76528,0.873,0.572,0.738,0.316966,1.12339,0.53653,0.52588,0.57108
160120,00:00,0.83017,1.453,1.07654,2.26998,0.681,0.45,0.49213,0.394297,1.38257,0.481837,0.46025,0.45619
160120,08:00,0.50489,,2.436,1.97855,0.872,0.607,1.57805,0.526621,1.09961,0.718503,0.54034,0.61625
160120,16:00,0.547805,0.813,0.73227,1.03962,0.937,0.586,0.60498,0.216375,0.55119,0.765612,0.54778,0.59411
