date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWarsza,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczLacz04
16/01/01,08:00,71.2644,91.296,267.287,117.858,41.1812,23.9,94.5035,32.195,122.128,34.9821,99.7108,42.844
16/01/01,16:00,85.4186,126.8,160.751,130.13,34.7084,14.0,57.5227,18.2319,117.114,41.1781,,55.6579
16/01/02,00:00,78.8412,36.772,62.0295,195.67,23.4332,17.8,27.2503,11.5109,79.5184,21.2468,90.6057,61.8933
16/01/02,08:00,32.2563,20.288,44.6886,101.406,24.2684,15.7,22.5925,10.8047,48.1391,21.4828,45.2,50.2008
16/01/02,16:00,44.9655,49.452,127.348,85.9506,39.6152,20.8,28.2206,2.50911,55.591,35.0593,25.4931,26.537
16/01/03,00:00,43.8739,38.04,55.2334,299.584,40.346,16.7,37.3622,13.005,48.0257,25.4882,29.4,27.6997
16/01/03,08:00,31.7928,44.38,47.8686,151.411,45.4616,21.8,30.9337,5.29706,,37.2776,28.9001,27.9296
16/01/03,16:00,62.8394,73.544,107.27,88.9527,68.4296,39.3,33.9104,1.01611,,44.4344,31.4,31.8603
16/01/04,00:00,69.2349,62.132,83.9392,232.285,71.0396,30.7,52.4564,16.8056,,55.575,54.2676,42.6112
16/01/04,08:00,71.2149,49.452,85.6176,95.7834,65.5064,45.6,51.3527,18.8634,,62.5788,53.84,53.0536
16/01/04,16:00,116.737,86.224,138.194,61.3937,94.5296,31.1,73.9905,6.88203,140.558,60.8593,58.1668,45.2643
16/01/05,00:00,119.318,97.636,124.03,171.005,90.458,47.6,123.98,24.6445,164.292,38.9068,72.9803,58.8329
16/01/05,08:00,76.6384,110.316,135.987,127.048,81.6884,41.6,77.174,22.9166,116.14,70.4632,79.94,53.7615
16/01/05,16:00,78.1208,136.944,191.227,153.533,103.8212,55.0,34.8614,20.0529,93.3755,75.9051,90.2968,77.1446
16/01/06,00:00,110.06,155.964,177.927,252.04,133.8884,64.4,40.8634,61.3026,208.46,68.2694,92.271,67.8064
16/01/06,08:00,115.507,106.512,159.156,99.2898,80.6444,30.9,30.2457,57.1622,149.548,67.1983,96.4518,63.4422
16/01/06,16:00,123.644,162.304,155.218,115.03,85.8644,44.6,118.514,44.8087,152.248,47.7242,102.905,63.6637
16/01/07,00:00,171.154,119.192,140.65,163.077,63.836,41.1,223.934,22.7964,250.865,51.846,101.818,79.7207
16/01/07,08:00,120.603,82.42,130.204,119.409,55.1708,40.3,63.0617,21.7864,230.511,54.8172,75.7637,72.4925
16/01/07,16:00,147.315,95.1,148.614,57.4867,74.4848,48.4,43.2604,9.12144,195.755,68.5697,84.9585,71.396
16/01/08,00:00,173.38,49.452,91.2735,69.4982,103.6124,34.8,64.8404,28.0842,41.6602,52.1165,92.5127,98.0424
