date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MzWarMarszal,PdBialWaszyn,PmGdaLeczk08,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczAndr01
160101,08:00,64.7542,70.0,224.785,35.4392,33.0,30.2119,107.071,32.585,93.6863,32.386
160101,16:00,82.954,89.0,131.913,28.7576,9.0,18.5756,111.278,25.3703,,62.3412
160102,00:00,75.5341,24.0,49.7087,19.3616,7.0,11.9531,76.354,16.8978,86.2161,68.687
160102,08:00,29.1537,10.0,38.5454,19.988,22.0,6.0648,38.8847,14.8588,42.4,39.807
160102,16:00,35.8947,32.0,49.6556,30.428,13.0,7.99583,45.9944,19.5162,21.0984,22.259
160103,00:00,40.772,27.0,39.9977,36.692,23.0,11.8911,43.1921,33.1296,28.7,22.1598
160103,08:00,,29.0,36.1739,40.5548,19.0,13.5375,,39.3551,27.7763,27.5042
160103,16:00,,49.0,57.9194,61.5392,37.0,15.0308,,44.3451,29.9,28.1897
160104,00:00,61.3832,43.0,69.6246,65.2976,,23.1183,,51.3044,45.396,46.1561
160104,08:00,68.4922,35.0,75.4133,52.1432,,25.9744,,,45.011,40.3057
160104,16:00,111.717,,83.8172,72.3968,20.0,17.3431,129.135,,55.6587,38.6658
160105,00:00,111.458,,93.5226,78.6608,48.0,22.8608,151.356,,71.3337,50.1031
160105,08:00,71.0439,,96.8985,66.7592,36.0,23.5651,109.19,,74.0377,56.023
160105,16:00,74.9065,,127.34,81.062,36.0,38.4214,89.4734,,85.1877,46.9179
160106,00:00,108.646,109.0,120.456,117.08,53.0,47.2761,202.308,,86.4417,78.8042
160106,08:00,110.615,93.0,105.865,73.232,37.0,42.5869,142.606,,87.9097,89.8423
160106,16:00,123.467,128.0,113.998,80.2268,49.0,48.7167,138.754,,105.925,63.0732
160107,00:00,167.068,95.0,106.858,60.5996,43.0,28.6331,231.623,,97.245,115.576
160107,08:00,113.28,72.0,96.399,48.9068,52.0,15.4714,213.19,,66.5823,83.5861
160107,16:00,138.688,81.0,102.354,66.6548,48.0,16.68,173.358,,82.4117,56.4542
160108,00:00,163.627,56.0,69.3493,95.8868,42.0,32.1997,39.0,,83.52,92.4209
160108,08:00,61.3369,39.0,67.0829,59.0336,43.0,23.2261,65.3316,,,89.6299
160108,16:00,22.0314,65.0,31.1675,63.314,45.0,33.3628,25.9196,53.7409,43.48,1.1784
160109,00:00,29.5943,21.0,89.1737,29.5928,60.0,57.8167,24.7033,75.198,16.9583,20.0328
160109,08:00,40.2812,6.0,96.8859,29.6972,28.0,1.94528,63.324,18.4536,15.8,30.0419
160109,16:00,99.5311,95.0,83.993,33.038,31.0,21.9853,45.1462,30.7513,23.834,17.8472
160110,00:00,128.728,55.0,90.5886,89.7272,41.0,47.7708,,49.7841,38.0457,35.406
160110,08:00,,50.0,66.7311,57.9896,29.0,10.6628,,28.8623,49.6977,39.8602
160110,16:00,90.4256,55.0,70.986,45.6704,23.0,18.2628,,29.4145,78.6,63.1263
160111,00:00,,40.0,76.235,30.6368,15.0,20.7222,,20.6008,118.053,46.521
160111,08:00,32.8862,,70.6924,36.0656,18.0,23.8458,,21.2355,96.8983,43.8285
160111,16:00,61.1546,109.0,117.292,61.9568,11.0,28.0753,187.75,30.2267,97.116,25.3474
160112,00:00,54.7941,132.0,139.377,82.9412,,47.45,78.3345,26.3662,95.6247,28.6604
160112,08:00,34.2912,44.0,18.0087,54.7532,17.0,6.00667,22.4145,16.1642,60.7253,36.2696
160112,16:00,18.1054,28.0,14.1518,35.8568,29.0,13.926,22.7405,22.2719,44.2642,31.9306
160113,00:00,21.8842,45.0,39.405,34.9172,23.0,19.3531,35.222,27.0736,79.8033,21.0317
160113,08:00,17.8839,15.0,25.5405,39.4064,35.0,16.7269,24.0948,27.212,28.7,14.0543
160113,16:00,12.7083,40.0,20.9556,34.4996,45.0,8.99139,16.4622,9.09236,27.5951,14.9529
160114,00:00,11.4906,16.0,30.7934,24.0596,11.0,5.81639,23.0,15.5012,13.9068,12.2284
160114,08:00,22.9157,9.0,20.147,13.202,9.0,7.62278,17.8917,7.28039,12.4686,11.7696
160114,16:00,14.616,64.0,44.375,34.3952,11.0,18.264,28.4755,19.7696,29.3342,10.5283
160115,00:00,69.8424,60.0,86.305,58.9292,38.0,37.6403,59.2821,38.2905,60.0261,26.0731
160115,08:00,51.4247,48.0,61.419,61.226,56.0,17.6375,58.63,44.8493,60.454,31.7013
160115,16:00,37.772,,42.1977,69.9956,41.0,41.4117,21.0184,40.584,77.4175,40.1083
160116,00:00,33.4548,42.0,54.014,54.2312,40.0,9.18444,63.3116,37.6024,,36.4365
160116,08:00,19.0792,24.0,25.2095,36.7964,18.0,7.57889,29.0356,21.197,31.4515,21.1504
160116,16:00,,40.0,31.842,22.9112,30.0,14.5881,36.802,32.2067,22.3,13.9864
160117,00:00,28.8747,56.0,91.3077,91.1888,70.0,25.2103,136.921,73.2377,49.2183,36.8874
160117,08:00,72.5347,32.0,31.5214,90.458,52.0,12.3044,75.1494,28.4792,30.9,54.0843
160117,16:00,16.5123,50.0,29.2685,100.0628,40.0,9.86167,43.2058,30.9285,29.38,
160118,00:00,77.8012,53.0,73.5021,70.5176,63.0,17.6061,77.9249,32.7223,60.685,16.9568
160118,08:00,45.574,59.0,101.505,57.8852,67.0,12.4747,56.2641,42.8303,38.5,
160118,16:00,25.1223,78.0,49.3615,84.5072,46.0,9.41944,43.2225,31.5854,16.9269,15.0427
