date,time,DsWrocWybCon,LdLodzGdansk,MpKrakBujaka,MpKrakBulwar,MpZakopaSien,MzWarKondrat,MzWarWokalna,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160101,08:00,5.03215,17.3,24.806,11.2005,49.8935,2.7,4.8,2.9,20.4067,1.49312,45.9952,5.28097,7.19269,1.69279
160101,16:00,7.93904,26.2,20.5838,12.8001,47.0462,3.7,4.2,3.0,16.289,2.66053,41.1152,8.93644,,3.29175
160102,00:00,6.70194,8.4,6.57153,9.2978,53.7588,2.5,3.0,3.4,3.79238,1.09057,37.2112,3.85957,8.98157,3.47647
160102,08:00,5.61533,7.5,5.96959,14.1094,53.5058,2.3,2.8,3.3,7.34676,1.68683,26.4732,12.2657,7.77916,7.41549
160102,16:00,11.0518,16.8,7.73869,14.7995,25.7419,3.9,2.7,1.5,10.2415,2.93456,20.4356,2.94232,3.49581,4.59958
160103,00:00,9.76669,9.8,7.71638,11.1206,76.3854,2.6,4.1,2.1,8.56215,1.38493,27.02,1.24958,4.78864,4.97642
160103,08:00,8.25189,8.6,8.36282,14.1501,84.477,2.8,4.3,3.4,18.2324,0.85422,,2.2873,6.40867,5.28084
160103,16:00,21.3653,20.5,12.665,17.461,34.3741,3.9,4.5,5.1,15.7135,2.61813,,3.61818,9.19077,9.69053
160104,00:00,,13.7,18.4118,23.1608,75.2448,3.5,6.606171,2.8,6.71979,2.95996,,2.46139,8.54877,8.76248
160104,08:00,34.7576,15.3,,20.3955,72.5583,7.7,9.007349,5.1,5.38424,2.00917,,4.70683,11.9639,10.8011
160104,16:00,35.2445,26.2,15.5694,17.3239,31.1323,6.3,9.408527,7.1,8.1422,5.34328,52.3538,4.07006,15.2972,12.2013
160105,00:00,22.4058,23.5,19.5335,16.1011,52.692,7.5,8.909705,4.1,15.9461,3.9043,69.6633,4.22149,14.6344,15.0453
160105,08:00,19.4309,24.3,14.0806,15.9348,51.1573,4.6,9.510883,5.1,14.4679,3.45061,53.9065,5.19555,9.00798,10.804
160105,16:00,21.1967,33.1,15.4587,23.2218,49.1773,8.0,10.512061,5.9,11.4535,4.32475,40.5789,5.21724,15.6128,9.83461
160106,00:00,24.8461,22.1,20.0434,12.731,79.9589,7.3,11.713239,7.0,12.0211,4.42221,61.8992,5.59716,16.8037,9.6159
160106,08:00,16.6267,22.0,21.0437,17.1592,79.6728,5.9,8.214416,4.2,7.9608,4.9396,50.7176,5.0905,10.216,11.4934
160106,16:00,12.7199,32.5,17.6728,19.0795,61.0266,7.9,12.915594,4.9,20.3148,29.9851,56.4186,5.13398,11.8763,13.1478
160107,00:00,17.19,18.5,22.6728,18.7389,78.726,6.3,9.616772,4.0,41.6288,3.55487,74.294,4.58248,10.4523,7.182
160107,08:00,12.6531,18.7,13.4994,14.1046,52.715,4.9,7.11795,4.1,13.0764,5.93581,76.5649,3.88125,9.96183,
160107,16:00,14.3713,25.5,21.1241,18.4404,32.4431,6.1,8.119128,5.9,9.56725,5.21777,64.6968,4.86758,9.16578,12.2197
160108,00:00,22.1136,15.8,12.0527,11.8096,31.3857,8.0,8.020306,3.5,11.4585,8.6595,11.067,4.70808,11.5722,15.3179
160108,08:00,13.5914,7.9,7.93664,12.2293,55.0957,5.2,9.621484,3.0,7.32297,5.53365,24.8176,8.97333,8.50748,14.7497
160108,16:00,6.90043,28.3,10.5979,17.9683,16.174,5.7,5.922661,5.2,9.47199,5.11245,15.9346,4.3861,5.35827,9.81171
160109,00:00,7.24011,15.5,8.982,7.5122,14.903,5.7,7.023839,4.9,4.69309,12.382,12.4316,3.73334,4.56308,4.70746
160109,08:00,4.25592,8.8,15.6638,9.5811,45.4115,14.6,7.025017,4.0,8.77612,6.70525,11.1321,2.53124,2.65211,2.31346
160109,16:00,16.1161,45.1,17.4345,13.5864,64.3066,8.6,5.426195,5.2,2.66832,3.40763,24.7453,3.95023,2.10428,4.11044
160110,00:00,14.8179,18.8,11.2986,6.5544,93.999,8.1,8.327373,3.8,16.9481,3.38921,47.7679,3.96669,3.76084,4.37496
160110,08:00,9.87294,11.7,7.99212,7.8327,83.3043,6.0,6.328551,4.2,7.7738,2.42241,41.2633,9.63785,5.85861,8.2061
160110,16:00,21.4871,31.8,8.78425,5.8503,40.873,4.4,6.829729,3.9,5.1405,7.3231,25.8063,15.9687,5.30029,6.54508
160111,00:00,9.55831,12.0,11.9093,4.4929,48.0619,3.5,6.030906,4.5,13.7571,18.0222,38.1379,3.36453,6.16021,3.1122
160111,08:00,8.72119,,7.99255,6.3017,57.8441,4.1,10.232084,5.1,11.8334,442.017,19.4609,3.9998,3.2469,3.70701
